이름	설명
3 카드	덱에서 '숫자 카드 3' 을 가져 옵니다. 덱에 '숫자 카드 3' 이 없을 경우, 아무일도 일어나지 않습니다.
4 카드	덱에서 '숫자 카드 4' 을 가져 옵니다. 덱에 '숫자 카드 4' 이 없을 경우, 아무일도 일어나지 않습니다.
5 카드	덱에서 '숫자 카드 5' 을 가져 옵니다. 덱에 '숫자 카드 5' 이 없을 경우, 아무일도 일어나지 않습니다.
6 카드	덱에서 '숫자 카드 6' 을 가져 옵니다. 덱에 '숫자 카드 6' 이 없을 경우, 아무일도 일어나지 않습니다.
덱 뽑기	덱에서 '숫자 카드' 하나를 가져옵니다. 덱에 '숫자 카드'가 없을 경우, 아무일도 일어나지 않습니다.
최소의 카드	덱에서 가능한 한 작은 수를 가져옵니다. 덱에 '숫자 카드'가 없을 경우, 아무일도 일어나지 않습니다.
최대의 카드	덱에서 가능한 한 큰 수를 가져옵니다. 덱에 '숫자 카드'가 없을 경우, 아무일도 일어나지 않습니다.
되돌리기	자신이 가장 최근에 얻은 '숫자 카드' 하나를 덱으로 되돌립니다. '시크릿 카드' 는 되돌릴 수 없습니다.
박탈	상대방이 가장 최근에 얻은 '숫자 카드' 하나를 덱으로 되돌립니다. '시크릿 카드' 는 되돌릴 수 없습니다.
공격	상대방이 '숫자 카드' 하나를 덱에서 뽑게 합니다. 덱에 '숫자 카드'가 없을 경우, 아무일도 일어나지 않습니다.
시간 역행	자신과 상대방 모두 가장 최근에 얻은 '숫자 카드' 하나씩을 덱으로 되돌립니다. '시크릿 카드'는 되돌릴 수 없습니다.
교환	상대방이 가장 최근에 얻은 '숫자 카드' 와 자신이 가장 최근에 얻은 '숫자 카드' 를 서로 바꿉니다.<br>'시크릿 카드' 는 바꿀 수 없습니다.
대소 비교	자신의 총합과 상대방의 총합을 비교하여 더 큰 쪽을 자신에게만 알려줍니다.
꿰뚫는 눈	상대방의 '숫자 카드' 중에서 가장 작은 수, 또는 가장 큰 수를 알아낼 수 있습니다.
연금술	이 카드와 다른 '스페셜 카드' 2장을 제물로 바쳐, 이 카드는 사라지고 제물로 바친 '스페셜 카드' 2장을<br>스페셜 덱에 넣은 후, 스페셜 덱에서 '스페셜 카드' 3장을 가져옵니다.
완벽한 선택	목표 숫자에 가까워지게 하는 가능한 한 최적의 '숫자 카드'를 덱에서 가져옵니다.
자비	상대방이 목표 숫자에 가까워지게 하는 가능한 한 최적의 '숫자 카드'를 덱에서 가져가게 합니다.
24 목표	이 카드가 '게임 테이블' 위에 올려져 있을 경우, 게임의 목표 숫자를 24로 변경합니다.<br>기존에 다른 목표 변경 카드가 이미 올려져 있었을 경우, 그 카드를 파괴하고 이 카드를 게임 테이블 위에 올립니다.)
27 목표	이 카드가 '게임 테이블' 위에 올려져 있을 경우, 게임의 목표 숫자를 27로 변경합니다.<br>기존에 다른 목표 변경 카드가 이미 올려져 있었을 경우, 그 카드를 파괴하고 이 카드를 게임 테이블 위에 올립니다.)
봉인	이 카드가 '게임 테이블' 위에 올려져 있을 경우, 상대방은 '스페셜 카드' 를 사용할 수 없습니다.<br>(단, 파괴&파멸 카드는 제외합니다.)<br>이 카드를 사용한 후 상대방이 턴을 마치면, 이 카드는 자동으로 파괴됩니다.
파괴	상대방이 '게임 테이블' 위에 올려놓은 '스페셜 카드' 를 모두 제거합니다.
파멸	자신과 상대방 모두 '게임 테이블' 위에 올려놓은 '스페셜 카드' 를 모두 제거합니다.
불굴의 저항	이 카드가 '게임 테이블' 위에 올려져 있을 경우, 상대방은 자신의 '숫자 카드' 에 영향을 주는 '스페셜 카드' 를 쓸 수 없습니다.<br>※ 영향을 주는 카드 : 박탈, 공격, 시간 역행, 자비, 교환
고스트 카드	유령 숫자 카드' 를 만들어 냅니다. '유령 숫자 카드' 는 일반 숫자 카드와 동일하게 취급되어, 다른 '스페셜 카드' 로<br>조작할 수 있습니다. '유령 숫자 카드' 는 -1,0,1 중 하나의 숫자를 가질 수 있으며, 이 카드를 사용하면서 선택할 수 있습니다.<br>'유령 숫자 카드' 는 덱으로 되돌아가면 소멸합니다.
반사	이 카드가 '게임 테이블' 위에 올려져 있을 경우,<br>상대방이 자신에게 영향을 주는 '스페셜 카드' 를 사용할 때, 상대가 사용한 '스페셜 카드' 의 효과를 상대에게 되돌려줍니다.<br>이 카드를 사용한 후 상대방이 턴을 마치면, 이 카드는 자동으로 파괴됩니다.<br>※ 반사 가능한 카드 : 박탈, 공격, 자비, 봉인
존야의 모래시계	즉시 자신의 턴을 종료합니다.<br>단, '숫자 카드' 를 뽑지 않은 상태에서 턴을 종료해도, '숫자 카드'를 뽑은 걸로 간주하여<br>상대방이 '숫자 카드'를 뽑지 않고 턴을 마쳐도 게임이 종료되지 않습니다.
